,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
1,ITP,1,1259,27,-0.4447345474323498,34.37203408975511,222.67025850251446
2,ITP,1,1259,27,-0.42683114686221707,34.382750976765124,224.17025850251423
3,ITP,1,1259,27,-0.390544848462753,34.3973727159288,225.670258502514
4,ITP,1,1259,27,-0.38860771225828367,34.39794134444872,227.17025850251378
5,ITP,1,1259,27,-0.3602083435606504,34.40878436534661,228.67025850251355
0,ITP,8,1301,27,-1.0930769293082088,33.98705886932839,221.01980615995976
1,ITP,8,1301,27,-1.0645134593244827,34.010105825730015,222.51980615995953
2,ITP,8,1301,27,-1.0394896305596155,34.031667226464876,224.0198061599593
3,ITP,8,1301,27,-1.0235541392382486,34.048778507618835,225.51980615995907
4,ITP,8,1301,27,-1.0026426231608925,34.06583770449581,227.01980615995885
5,ITP,8,1301,27,-0.9561153102987547,34.10021188170103,228.51980615995862
0,ITP,1,1259,28,-0.4714853694130229,34.36991189411403,221.20775850251468
1,ITP,1,1259,28,-0.4422804113503819,34.37320835672589,222.70775850251445
2,ITP,1,1259,28,-0.4267479513272835,34.382738262552316,224.20775850251422
3,ITP,1,1259,28,-0.39056949395200147,34.39738872956981,225.707758502514
4,ITP,1,1259,28,-0.388551817973179,34.39795902022256,227.20775850251377
5,ITP,1,1259,28,-0.3564922055045177,34.41043073058924,228.70775850251354
0,ITP,8,1301,28,-1.0928272016038532,33.98749078499753,221.05730615995975
1,ITP,8,1301,28,-1.0643518713144602,34.010608391925416,222.55730615995952
2,ITP,8,1301,28,-1.0392844049874408,34.03211529193407,224.0573061599593
3,ITP,8,1301,28,-1.023083339460986,34.04894956860044,225.55730615995907
4,ITP,8,1301,28,-1.001832544101668,34.06687027020945,227.05730615995884
5,ITP,8,1301,28,-0.9549363180690854,34.10119425614661,228.5573061599586
0,ITP,1,1259,29,-0.4713043181038435,34.3699210809366,221.24525850251467
1,ITP,1,1259,29,-0.44018916166149846,34.374876611281394,222.74525850251445
2,ITP,1,1259,29,-0.42666501057499157,34.38282159544946,224.24525850251422
3,ITP,1,1259,29,-0.390533849263333,34.39738511788364,225.745258502514
4,ITP,1,1259,29,-0.3884131523580607,34.39791811508898,227.24525850251376
5,ITP,1,1259,29,-0.355216493160336,34.410999139466384,228.74525850251354
0,ITP,8,1301,29,-1.0925908386495933,33.98796243438432,221.09480615995975
